"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []"
12.7,0.45,239.251276,-10.748724,19207.3407748991
12.7,0.45,240.00128,-9.99871999999999,19016.33696607
12.7,0.45,240.751284,-9.24871599999999,18825.3331572409
12.7,0.45,241.501288,-8.49871200000002,18635.594759758
12.7,0.45,242.251292,-7.74870799999999,18444.4383140485
12.7,0.45,243.001296,-6.99870399999999,18253.5711132094
12.7,0.45,243.7513,-6.2487,18062.8784921521
12.7,0.45,244.501304,-5.498696,17873.6821829884
12.7,0.45,245.251308,-4.748692,17684.4858738246
12.7,0.45,246.001312,-3.998688,17495.2895646609
12.7,0.45,246.751316,-3.248684,17305.3722827805
12.7,0.45,247.50132,-2.49868,17119.116330262
12.7,0.45,248.251324,-1.74867599999998,16932.5767348258
12.7,0.45,249.001328,-0.998672000000006,16745.660671739
12.7,0.45,249.751332,-0.248668000000007,16562.3250805247
12.7,0.45,250.501336,0.501336000000019,16377.7332156371
12.7,0.45,251.25134,1.25133999999999,16193.7517449964
12.7,0.45,252.001344,2.00134400000002,16011.774420179
12.7,0.45,252.751348,2.75134799999999,15830.3304874409
12.7,0.45,253.501352,3.50135200000001,15650.4882981827
12.7,0.45,254.251356,4.25135600000004,15473.6908423209
12.7,0.45,255.00136,5.00136000000001,15296.8933864591
12.7,0.45,255.751364,5.75136399999998,15118.3982873309
12.7,0.45,256.501368,6.50136800000001,14944.7812160654
12.7,0.45,257.251372,7.25137199999998,14769.4725300096
12.7,0.45,258.001376,8.001376,14599.0157813638
12.7,0.45,258.75138,8.75137999999997,14429.6859207598
12.7,0.45,259.501384,9.50138399999995,14260.3847826142
12.7,0.45,260.251388,10.251388,14092.6506382159
12.7,0.45,261.001392,11.001392,13924.3804261489
12.7,0.45,261.751396,11.751396,13761.2700021821
12.7,0.45,262.5014,12.5014,13597.2260263876
12.7,0.45,263.251404,13.251404,13435.3631394037
12.7,0.45,264.001408,14.001408,13276.7578299978
12.7,0.45,264.751412,14.751412,13118.152520592
12.7,0.45,265.501416,15.501416,12959.57506387
12.7,0.45,266.25142,16.25142,12806.013983255
12.7,0.45,267.001424,17.001424,12652.3399513489
12.7,0.45,267.751428,17.751428,12498.6659194429
12.7,0.45,268.501432,18.501432,12346.7691829553
12.7,0.45,269.251436,19.251436,12201.1409456185
12.7,0.45,270.00144,20.00144,12053.439525321
12.7,0.45,270.751444,20.751444,11909.6040962551
12.7,0.45,271.501448,21.501448,11765.7686671893
12.7,0.45,272.251452,22.251452,11622.9872890669
12.7,0.45,273.001456,23.001456,11479.6505238916
12.7,0.45,273.75146,23.75146,11346.4835467313
12.7,0.45,274.501464,24.501464,11206.7111872287
12.7,0.45,275.251468,25.251468,11073.8708802168
12.7,0.45,276.001472,26.001472,10941.0305732049
12.7,0.45,276.751476,26.751476,10806.2596575869
12.7,0.45,277.50148,27.50148,10681.7160370127
12.7,0.45,278.251484,28.251484,10552.9671091097
12.7,0.45,279.001488,29.001488,10426.9985737621
12.7,0.45,279.751492,29.751492,10302.9526289285
12.7,0.45,280.501496,30.501496,10178.5582167422
12.7,0.45,281.2515,31.2515,10060.2202744606
12.7,0.45,282.001504,32.001504,9944.13954837107
12.7,0.45,282.751508,32.751508,9827.76028014364
12.7,0.45,283.501512,33.501512,9713.93469280434
12.7,0.45,284.251516,34.251516,9604.33822546843
12.7,0.45,285.00152,35.00152,9493.42716231233
12.7,0.45,285.751524,35.751524,9382.51609915622
12.7,0.45,286.501528,36.501528,9275.20722175313
12.7,0.45,287.251532,37.251532,9174.51918595613
12.7,0.45,288.001536,38.001536,9073.83115015914
12.7,0.45,288.75154,38.75154,8973.14311436215
12.7,0.45,289.501544,39.501544,8880.27650923448
12.7,0.45,290.251548,40.251548,8780.46350435296
12.7,0.45,291.001552,41.001552,8689.2660687404
12.7,0.45,291.751556,41.751556,8603.28759769731
12.7,0.45,292.50156,42.50156,8519.30649782984
12.7,0.45,293.251564,43.251564,8432.18594242654
12.7,0.45,294.001568,44.001568,8344.82157572065
12.7,0.45,294.751572,44.751572,8265.11208662097
12.7,0.45,295.501576,45.501576,8188.60274601728
12.7,0.45,296.25158,46.25158,8116.32199545578
12.7,0.45,297.001584,47.001584,8044.04124489427
12.7,0.45,297.751588,47.751588,7977.69392072971
12.7,0.45,298.501592,48.501592,7909.24433461724
12.7,0.45,299.251596,49.251596,7840.79474850478
12.7,0.45,300.0016,50.0016,7775.27641278659
12.7,0.45,300.751604,50.751604,7723.47704269573
12.7,0.45,301.501608,51.501608,7671.67767260489
12.7,0.45,302.251612,52.251612,7619.87830251405
12.7,0.45,303.001616,53.001616,7567.63995784696
12.7,0.45,303.75162,53.75162,7528.37202530639
12.7,0.45,304.501624,54.501624,7484.05374610946
12.7,0.45,305.251628,55.251628,7439.73546691254
12.7,0.45,306.001632,56.001632,7411.77185265387
12.7,0.45,306.751636,56.751636,7371.10980980885
12.7,0.45,307.50164,57.50164,7347.55830092382
12.7,0.45,308.251644,58.251644,7320.90235621119
12.7,0.45,309.001648,59.001648,7294.24641149856
12.7,0.45,309.751652,59.751652,7278.14553074916
12.7,0.45,310.501656,60.501656,7262.68303777214
